dtype,size,ours_ms,dao_ms,speedup_vs_dao
float16,256,1.428332,2.523830,1.766977
float16,512,1.415634,1.406787,0.993751
float16,1024,1.417855,1.947464,1.373528
float16,2048,1.422347,1.813051,1.274690
float16,4096,1.426364,1.824104,1.278849
float16,8192,1.426376,1.831521,1.284037
float16,16384,1.438401,1.910513,1.328220
float16,32768,1.426318,3.359039,2.355042
bfloat16,256,1.428649,2.525285,1.767603
bfloat16,512,1.415675,1.406689,0.993652
bfloat16,1024,1.417605,1.952935,1.377630
bfloat16,2048,1.420275,1.801595,1.268483
bfloat16,4096,1.428247,1.794553,1.256472
bfloat16,8192,1.432373,1.820999,1.271316
bfloat16,16384,1.432953,1.999414,1.395310
bfloat16,32768,1.427155,3.068828,2.150312
