dtype,size,ours_ms,flaggems_ms,speedup_vs_flaggems
float16,256,1.428280,1.457147,1.020211
float16,512,1.415686,1.406489,0.993504
float16,1024,1.417885,1.409040,0.993762
float16,2048,1.422421,1.590935,1.118470
float16,4096,1.426339,1.640930,1.150449
float16,8192,1.426322,1.789591,1.254690
float16,16384,1.438465,2.188754,1.521590
float16,32768,1.426329,3.180150,2.229605
bfloat16,256,1.428641,1.456530,1.019521
bfloat16,512,1.415744,1.406528,0.993490
bfloat16,1024,1.417586,1.409439,0.994253
bfloat16,2048,1.420184,1.570795,1.106050
bfloat16,4096,1.428197,1.626659,1.138960
bfloat16,8192,1.432382,1.781990,1.244075
bfloat16,16384,1.432951,2.192451,1.530025
bfloat16,32768,1.427118,3.207443,2.247497
