dtype,size,implementation,kernel_time_us,registers_per_thread,tensor_pipe_active_pct,warp_instructions,instruction_reduction_vs_hadacore,kernel_speedup_vs_hadacore
float16,256,ours,88.544,26,9.374988,7143424,2.917,1.007
float16,256,hadacore,89.120,32,9.373080,20840448,1.000,1.000
float16,4096,ours,86.208,79,19.028279,17711104,2.250,1.045
float16,4096,hadacore,90.048,37,13.847036,39845888,1.000,1.000
float16,32768,ours,101.312,255,16.540492,16199680,3.473,1.688
float16,32768,hadacore,170.976,123,9.605573,56262656,1.000,1.000
bfloat16,256,ours,88.512,30,9.266583,7995392,2.787,1.008
bfloat16,256,hadacore,89.216,32,9.215379,22282240,1.000,1.000
bfloat16,4096,ours,86.784,96,19.221131,21446656,2.017,1.083
bfloat16,4096,hadacore,94.016,42,13.185493,43253760,1.000,1.000
bfloat16,32768,ours,100.960,95,16.211535,17764352,3.597,1.806
bfloat16,32768,hadacore,182.368,128,9.045633,63897600,1.000,1.000
