dtype,size,ours_ms,hadacore_ms,hadacore_speedup,addone_roof_ms,ours_over_roof,effective_bandwidth_gbps
float16,256,1.4279,1.4146,0.991,1.4146,1.009,3007.9
float16,512,1.4153,1.4156,1.000,1.4146,1.000,3034.6
float16,1024,1.4177,1.4221,1.003,1.4145,1.002,3029.5
float16,2048,1.4220,1.4173,0.997,1.4146,1.005,3020.3
float16,4096,1.4261,1.4094,0.988,1.4146,1.008,3011.6
float16,8192,1.4261,1.4961,1.049,1.4146,1.008,3011.7
float16,16384,1.4383,1.5844,1.102,1.4146,1.017,2986.1
float16,32768,1.4262,2.1807,1.529,1.4146,1.008,3011.5
bfloat16,256,1.4282,1.4146,0.991,1.4147,1.010,3007.3
bfloat16,512,1.4156,1.4130,0.998,1.4146,1.001,3034.1
bfloat16,1024,1.4175,1.4217,1.003,1.4147,1.002,3029.9
bfloat16,2048,1.4201,1.4165,0.998,1.4147,1.004,3024.5
bfloat16,4096,1.4280,1.4418,1.010,1.4147,1.009,3007.7
bfloat16,8192,1.4320,1.5639,1.092,1.4147,1.012,2999.2
bfloat16,16384,1.4327,1.6477,1.150,1.4147,1.013,2997.7
bfloat16,32768,1.4271,2.2631,1.586,1.4147,1.009,3009.5
