shape,recipe,linear_ms,rht_ms,rht_linear_ms,pipeline_overhead_pct,speedup_vs_plain_bf16,speedup_vs_bf16_rht
square_4096,bf16,0.228416,0.061040,0.266928,16.860,0.856,1.000
square_4096,fp8_delayed,0.244912,0.060848,0.303840,24.061,0.752,0.879
square_4096,fp8_current,0.268352,0.061072,0.326496,21.667,0.700,0.818
square_4096,fp8_block,0.248144,0.060208,0.304368,22.658,0.750,0.877
square_8192,bf16,0.720848,0.100560,0.783872,8.743,0.920,1.000
square_8192,fp8_delayed,0.552048,0.102416,0.604816,9.559,1.192,1.296
square_8192,fp8_current,0.633488,0.103856,0.682928,7.804,1.056,1.148
square_8192,fp8_block,0.616944,0.104144,0.679520,10.143,1.061,1.154
llama_up,bf16,0.534304,0.061664,0.602176,12.703,0.887,1.000
llama_up,fp8_delayed,0.427968,0.065360,0.473392,10.614,1.129,1.272
llama_up,fp8_current,0.464928,0.061376,0.509936,9.681,1.048,1.181
llama_up,fp8_block,0.439616,0.060944,0.495328,12.673,1.079,1.216
llama_down,bf16,0.511264,0.127856,0.587104,14.834,0.871,1.000
llama_down,fp8_delayed,0.432496,0.131712,0.519136,20.033,0.985,1.131
llama_down,fp8_current,0.507056,0.131728,0.579872,14.361,0.882,1.012
llama_down,fp8_block,0.474240,0.128256,0.560096,18.104,0.913,1.048
