shape,mode,recipe,median_ms,effective_tflops,speedup_vs_bf16,status
square_4096,fprop,bf16,0.226016,608.094,1.000,ok
square_4096,fprop,fp8_delayed,0.246672,557.173,0.916,ok
square_4096,fprop,fp8_current,0.265536,517.591,0.851,ok
square_4096,fprop,fp8_block,0.253040,543.151,0.893,ok
square_4096,train,bf16,0.589424,699.525,1.000,ok
square_4096,train,fp8_delayed,0.570192,723.119,1.034,ok
square_4096,train,fp8_current,0.615296,670.111,0.958,ok
square_4096,train,fp8_block,0.614144,671.368,0.960,ok
square_8192,fprop,bf16,0.722576,760.828,1.000,ok
square_8192,fprop,fp8_delayed,0.549232,1000.954,1.316,ok
square_8192,fprop,fp8_current,0.626400,877.643,1.154,ok
square_8192,fprop,fp8_block,0.616800,891.303,1.171,ok
square_8192,train,bf16,2.370736,695.677,1.000,ok
square_8192,train,fp8_delayed,1.431664,1151.993,1.656,ok
square_8192,train,fp8_current,1.558192,1058.449,1.521,ok
square_8192,train,fp8_block,1.767056,933.342,1.342,ok
llama_up,fprop,bf16,0.549920,671.674,1.000,ok
llama_up,fprop,fp8_delayed,0.422288,874.681,1.302,ok
llama_up,fprop,fp8_current,0.467488,790.111,1.176,ok
llama_up,fprop,fp8_block,0.449872,821.050,1.222,ok
llama_up,train,bf16,1.644448,673.844,1.000,ok
llama_up,train,fp8_delayed,1.117104,991.941,1.472,ok
llama_up,train,fp8_current,1.190384,930.877,1.381,ok
llama_up,train,fp8_block,1.309472,846.220,1.256,ok
llama_down,fprop,bf16,0.529680,697.340,1.000,ok
llama_down,fprop,fp8_delayed,0.448608,823.363,1.181,ok
llama_down,fprop,fp8_current,0.513632,719.128,1.031,ok
llama_down,fprop,fp8_block,0.489232,754.994,1.083,ok
llama_down,train,bf16,1.606160,689.907,1.000,ok
llama_down,train,fp8_delayed,1.142864,969.583,1.405,ok
llama_down,train,fp8_current,1.185568,934.659,1.355,ok
llama_down,train,fp8_block,1.271312,871.620,1.263,ok
