shape,mode,recipe,median_ms,effective_tflops,speedup_vs_bf16,status
square_4096,fprop,bf16,0.224848,611.253,1.000,ok
square_4096,fprop,fp8_delayed,0.242640,566.432,0.927,ok
square_4096,fprop,fp8_current,0.264496,519.626,0.850,ok
square_4096,train,bf16,0.590048,698.785,1.000,ok
square_4096,train,fp8_delayed,0.578640,712.562,1.020,ok
square_4096,train,fp8_current,0.619904,665.130,0.952,ok
square_8192,fprop,bf16,0.724912,758.376,1.000,ok
square_8192,fprop,fp8_delayed,0.549056,1001.275,1.320,ok
square_8192,fprop,fp8_current,0.625344,879.125,1.159,ok
square_8192,train,bf16,2.459392,670.600,1.000,ok
square_8192,train,fp8_delayed,1.447328,1139.526,1.699,ok
square_8192,train,fp8_current,1.585312,1040.342,1.551,ok
llama_up,fprop,bf16,0.626976,589.125,1.000,ok
llama_up,fprop,fp8_delayed,0.445616,828.891,1.407,ok
llama_up,fprop,fp8_current,0.483008,764.723,1.298,ok
llama_up,train,bf16,1.524800,726.719,1.000,ok
llama_up,train,fp8_delayed,1.118928,990.324,1.363,ok
llama_up,train,fp8_current,1.186656,933.802,1.285,ok
llama_down,fprop,bf16,0.528416,699.008,1.000,ok
llama_down,fprop,fp8_delayed,0.444896,830.233,1.188,ok
llama_down,fprop,fp8_current,0.512496,720.722,1.031,ok
llama_down,train,bf16,1.660512,667.325,1.000,ok
llama_down,train,fp8_delayed,1.139168,972.729,1.458,ok
llama_down,train,fp8_current,1.183824,936.036,1.403,ok
square_4096,fprop,fp8_block,,,error_cuda_runtime_lt_12_9
square_4096,train,fp8_block,,,error_cuda_runtime_lt_12_9
square_8192,fprop,fp8_block,,,error_cuda_runtime_lt_12_9
square_8192,train,fp8_block,,,error_cuda_runtime_lt_12_9
llama_up,fprop,fp8_block,,,error_cuda_runtime_lt_12_9
llama_up,train,fp8_block,,,error_cuda_runtime_lt_12_9
llama_down,fprop,fp8_block,,,error_cuda_runtime_lt_12_9
llama_down,train,fp8_block,,,error_cuda_runtime_lt_12_9
